id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,artist,name,album,release,genre
5zwvCa9LuVB46IQwKODSW3,0.509,0.696,5,-7.341,1,0.0384,0.11,0.434,0.125,0.417,98.06,audio_features,spotify:track:5zwvCa9LuVB46IQwKODSW3,https://api.spotify.com/v1/tracks/5zwvCa9LuVB46IQwKODSW3,https://api.spotify.com/v1/audio-analysis/5zwvCa9LuVB46IQwKODSW3,300587,4,Boogarins,Começa em Você,"Manchaca, Vol. 2 (A Compilation of Boogarins Memories, Dreams, Demos and Outtakes from Austin, TX)",2021-04-02,indie
7gTAaRW4AqsArF1vDUFY03,0.491,0.819,9,-5.52,1,0.152,0.0565,7.52e-05,0.352,0.459,92.863,audio_features,spotify:track:7gTAaRW4AqsArF1vDUFY03,https://api.spotify.com/v1/tracks/7gTAaRW4AqsArF1vDUFY03,https://api.spotify.com/v1/audio-analysis/7gTAaRW4AqsArF1vDUFY03,281067,4,Boogarins,Correndo em Fúria,"Manchaca, Vol. 2 (A Compilation of Boogarins Memories, Dreams, Demos and Outtakes from Austin, TX)",2021-04-02,indie
4XLqe8UMsnlsaa2qguc5xW,0.293,0.828,2,-6.863,1,0.0517,0.259,0.00144,0.396,0.193,93.116,audio_features,spotify:track:4XLqe8UMsnlsaa2qguc5xW,https://api.spotify.com/v1/tracks/4XLqe8UMsnlsaa2qguc5xW,https://api.spotify.com/v1/audio-analysis/4XLqe8UMsnlsaa2qguc5xW,129493,5,Boogarins,Vc Sabe Mto - Improviso Fábrica dos Sonhos,"Manchaca, Vol. 2 (A Compilation of Boogarins Memories, Dreams, Demos and Outtakes from Austin, TX)",2021-04-02,indie
3Tnaywzt8FACGnI0dBeeAv,0.724,0.769,6,-5.489,0,0.0737,0.447,0.0153,0.726,0.565,112.041,audio_features,spotify:track:3Tnaywzt8FACGnI0dBeeAv,https://api.spotify.com/v1/tracks/3Tnaywzt8FACGnI0dBeeAv,https://api.spotify.com/v1/audio-analysis/3Tnaywzt8FACGnI0dBeeAv,270653,4,Boogarins,Basic Lines,"Manchaca, Vol. 2 (A Compilation of Boogarins Memories, Dreams, Demos and Outtakes from Austin, TX)",2021-04-02,indie
3blzViOH3HZuRnCfVIYuPg,0.578,0.824,11,-5.838,1,0.046,0.496,0.00336,0.165,0.666,143.917,audio_features,spotify:track:3blzViOH3HZuRnCfVIYuPg,https://api.spotify.com/v1/tracks/3blzViOH3HZuRnCfVIYuPg,https://api.spotify.com/v1/audio-analysis/3blzViOH3HZuRnCfVIYuPg,203453,4,Boogarins,No Meio de Tanto Cobertor - Medo de Falar,"Manchaca, Vol. 2 (A Compilation of Boogarins Memories, Dreams, Demos and Outtakes from Austin, TX)",2021-04-02,indie
4qFGs1kX71R8k8BsRM7R6x,0.525,0.809,6,-4.811,1,0.0652,0.126,0.951,0.606,0.672,123.953,audio_features,spotify:track:4qFGs1kX71R8k8BsRM7R6x,https://api.spotify.com/v1/tracks/4qFGs1kX71R8k8BsRM7R6x,https://api.spotify.com/v1/audio-analysis/4qFGs1kX71R8k8BsRM7R6x,131467,4,Boogarins,Rolê Torto - Improviso Fábrica dos Sonhos,"Manchaca, Vol. 2 (A Compilation of Boogarins Memories, Dreams, Demos and Outtakes from Austin, TX)",2021-04-02,indie
1lXnq6rYbJM5VFJZKhL8R1,0.424,0.749,2,-5.648,1,0.0718,0.161,0.0014,0.33,0.371,115.995,audio_features,spotify:track:1lXnq6rYbJM5VFJZKhL8R1,https://api.spotify.com/v1/tracks/1lXnq6rYbJM5VFJZKhL8R1,https://api.spotify.com/v1/audio-analysis/1lXnq6rYbJM5VFJZKhL8R1,240867,4,Boogarins,Derramado,"Manchaca, Vol. 2 (A Compilation of Boogarins Memories, Dreams, Demos and Outtakes from Austin, TX)",2021-04-02,indie
1DH3I6ug5nXxg8tLOPJIrm,0.217,0.8,4,-8.252,1,0.0426,0.242,0.00292,0.171,0.278,139.99,audio_features,spotify:track:1DH3I6ug5nXxg8tLOPJIrm,https://api.spotify.com/v1/tracks/1DH3I6ug5nXxg8tLOPJIrm,https://api.spotify.com/v1/audio-analysis/1DH3I6ug5nXxg8tLOPJIrm,154760,4,Boogarins,Eixão,"Manchaca, Vol. 2 (A Compilation of Boogarins Memories, Dreams, Demos and Outtakes from Austin, TX)",2021-04-02,indie
0ywgBvDuSFSGTDLJvMPMas,0.479,0.618,6,-6.31,0,0.0394,0.0526,4.14e-05,0.0885,0.0864,111.147,audio_features,spotify:track:0ywgBvDuSFSGTDLJvMPMas,https://api.spotify.com/v1/tracks/0ywgBvDuSFSGTDLJvMPMas,https://api.spotify.com/v1/audio-analysis/0ywgBvDuSFSGTDLJvMPMas,236960,4,Boogarins,Você Sabe Muito,"Manchaca, Vol. 2 (A Compilation of Boogarins Memories, Dreams, Demos and Outtakes from Austin, TX)",2021-04-02,indie
3dqrwCSdxMUtTlXuP61KcP,0.428,0.64,7,-5.585,1,0.031,0.141,0.000572,0.114,0.325,127.078,audio_features,spotify:track:3dqrwCSdxMUtTlXuP61KcP,https://api.spotify.com/v1/tracks/3dqrwCSdxMUtTlXuP61KcP,https://api.spotify.com/v1/audio-analysis/3dqrwCSdxMUtTlXuP61KcP,251613,4,Boogarins,Supernova,"Manchaca, Vol. 2 (A Compilation of Boogarins Memories, Dreams, Demos and Outtakes from Austin, TX)",2021-04-02,indie
